Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2
AIO,"(37.895835876464844, 15.333335876464844)",20,100,sqrt,10,1,0.20864145235269682,0.09783417879240577,0.3127845565119956,0.5449893435239355
AIO,"(37.9375, 15.375)",20,100,sqrt,10,1,0.20226194400823938,0.09116437716465205,0.30193439215275236,0.5534258515112351
AIO,"(37.895835876464844, 15.375)",20,100,sqrt,10,1,0.2076941853509347,0.09718354919062827,0.3117427612481616,0.5657584575089352
AIO,"(37.85416793823242, 15.333335876464844)",20,100,sqrt,10,1,0.20823440657406583,0.09821049794711385,0.3133855420199117,0.557897176200755
AIO,"(37.97916793823242, 15.416667938232422)",20,100,sqrt,10,1,0.1923163413252117,0.08229335837133264,0.2868681898909892,0.5613123947174024
AIO,sea_mean,20,100,sqrt,10,1,0.20286033879312146,0.09221485556821223,0.3036689901326973,0.5597562568173835
AIO,sea_median,20,100,sqrt,10,1,0.20796285531012254,0.09724192008344955,0.31183636748052584,0.5514068656187626
AIO,sea_mode,20,100,sqrt,10,1,0.19522312244845802,0.08445699664475467,0.2906148596420263,0.5484705863755939
AIO,"(37.895835876464844, 15.333335876464844)",20,100,sqrt,10,3,0.20821654291767033,0.09866127927002359,0.31410393068222436,0.5411426353904609
AIO,"(37.9375, 15.375)",20,100,sqrt,10,3,0.20167130952475684,0.09178717543169351,0.30296398372033184,0.5503750369887819
AIO,"(37.895835876464844, 15.375)",20,100,sqrt,10,3,0.20747644523124412,0.09800902997098826,0.3130639391098698,0.5620699932539703
AIO,"(37.85416793823242, 15.333335876464844)",20,100,sqrt,10,3,0.20821585709645002,0.09914338510783066,0.31487042590219655,0.5536977061170063
AIO,"(37.97916793823242, 15.416667938232422)",20,100,sqrt,10,3,0.1916132067064456,0.08268847561110183,0.28755603907951893,0.5592061125197785
AIO,sea_mean,20,100,sqrt,10,3,0.2024338123740725,0.09293444009024734,0.3048515049827495,0.5563208820985814
AIO,sea_median,20,100,sqrt,10,3,0.20758663074265707,0.0980991800021065,0.31320788623868734,0.5474521831776948
AIO,sea_mode,20,100,sqrt,10,3,0.1945889403220409,0.08484834981751473,0.29128740071879994,0.5463783089369387
AIO,"(37.895835876464844, 15.333335876464844)",20,100,sqrt,10,5,0.2086030186818509,0.09835023098205098,0.3136084038766356,0.5425892697615275
AIO,"(37.9375, 15.375)",20,100,sqrt,10,5,0.20205009754434952,0.09170360565086978,0.30282603199010116,0.5507844085533279
AIO,"(37.895835876464844, 15.375)",20,100,sqrt,10,5,0.207624608374968,0.09768137042667381,0.3125401900982877,0.5635340618861617
AIO,"(37.85416793823242, 15.333335876464844)",20,100,sqrt,10,5,0.20821737848129143,0.09864076988765844,0.31407128153917296,0.5559602708404057
AIO,"(37.97916793823242, 15.416667938232422)",20,100,sqrt,10,5,0.1918464620086336,0.082686659363784,0.2875528809867569,0.5592157945306022
AIO,sea_mean,20,100,sqrt,10,5,0.2026899533573955,0.09269602683177867,0.3044602220845585,0.5574590929073049
AIO,sea_median,20,100,sqrt,10,5,0.20799020528609866,0.09777562502350323,0.3126909417036305,0.5489447960536207
AIO,sea_mode,20,100,sqrt,10,5,0.19490307968837572,0.08494710288687153,0.29145686282342287,0.5458503489422464
AIO,"(37.895835876464844, 15.333335876464844)",20,100,log2,10,1,0.2061911972906136,0.09618024443259211,0.3101293994973584,0.5526815198994739
AIO,"(37.9375, 15.375)",20,100,log2,10,1,0.19970249598969192,0.08932422304133353,0.29887158286015336,0.5624399564310205
AIO,"(37.895835876464844, 15.375)",20,100,log2,10,1,0.20528348112749595,0.09569811700130712,0.3093511225150268,0.5723957574483667
AIO,"(37.85416793823242, 15.333335876464844)",20,100,log2,10,1,0.20623185310805342,0.09696130442354269,0.3113861018471163,0.5635205260033387
AIO,"(37.97916793823242, 15.416667938232422)",20,100,log2,10,1,0.19004902528850623,0.08044125357281971,0.2836216733129182,0.5711855538018308
AIO,sea_mean,20,100,log2,10,1,0.20039800922809825,0.09059184219401506,0.3009847873132711,0.5675046990687891
AIO,sea_median,20,100,log2,10,1,0.20541873757770698,0.095558837375028,0.30912592478636924,0.5591712058019445
AIO,sea_mode,20,100,log2,10,1,0.19303487619283255,0.08262600508965479,0.2874473953433128,0.5582595508909078
AIO,"(37.895835876464844, 15.333335876464844)",20,100,log2,10,3,0.20675334300614934,0.09691105022681928,0.3113053970409432,0.5492826624828505
