Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2
AIO,"(37.895835876464844, 15.333335876464844)",30,100,sqrt,10,1,0.25767677245828163,0.1518164098101967,0.3896362532031596,0.46191800387479465
AIO,"(37.9375, 15.375)",30,100,sqrt,10,1,0.2514075060161329,0.144273890612439,0.379834030350677,0.4641090387256066
AIO,"(37.895835876464844, 15.375)",30,100,sqrt,10,1,0.2569751864527271,0.15133478214891702,0.3890177144410226,0.4811875118256481
AIO,"(37.85416793823242, 15.333335876464844)",30,100,sqrt,10,1,0.2570440224001399,0.15196343845688953,0.38982488178269165,0.47464466475424816
AIO,"(37.97916793823242, 15.416667938232422)",30,100,sqrt,10,1,0.24139146466091277,0.1343854173475505,0.36658616633412466,0.4612984408620149
AIO,sea_mean,30,100,sqrt,10,1,0.25182278881827036,0.1452251637235004,0.38108419505865154,0.4718537968675761
AIO,sea_median,30,100,sqrt,10,1,0.2575416969739593,0.15147623971861193,0.38919948576355023,0.4663958024486744
AIO,sea_mode,30,100,sqrt,10,1,0.24246554173626833,0.13489888022354818,0.3672858290535427,0.454824416964
AIO,"(37.895835876464844, 15.333335876464844)",30,100,sqrt,10,3,0.2582781799304344,0.15415843557313225,0.3926301511258811,0.4536171759269296
AIO,"(37.9375, 15.375)",30,100,sqrt,10,3,0.25213421407607967,0.14652184497345463,0.38278171974828507,0.455759236704521
AIO,"(37.895835876464844, 15.375)",30,100,sqrt,10,3,0.25763583416143543,0.1538621788379348,0.3922526976808889,0.4725229804719595
AIO,"(37.85416793823242, 15.333335876464844)",30,100,sqrt,10,3,0.2575992616391869,0.15456211938800188,0.39314389145451806,0.4656607216056561
AIO,"(37.97916793823242, 15.416667938232422)",30,100,sqrt,10,3,0.24204392559984175,0.1363240121666342,0.36922081762359255,0.453527329440927
AIO,sea_mean,30,100,sqrt,10,3,0.2524854981318446,0.1475931522327902,0.38417854212955493,0.4632420376643035
