Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2
AIO,"(37.895835876464844, 15.333335876464844)",20,300,sqrt,2,1,0.1823649953029697,0.07228767441704687,0.26886367254995025,0.4516361673519017
AIO,"(37.9375, 15.375)",20,300,sqrt,2,1,0.17614728461318138,0.06628251151516076,0.2574539017283692,0.46352447466113256
AIO,"(37.895835876464844, 15.375)",20,300,sqrt,2,1,0.18077077315369477,0.0710469746613776,0.26654638369592937,0.4729646130156864
AIO,"(37.85416793823242, 15.333335876464844)",20,300,sqrt,2,1,0.18212619396323704,0.07266099903458813,0.269557042264876,0.4605043012593305
AIO,"(37.97916793823242, 15.416667938232422)",20,300,sqrt,2,1,0.16673585938072527,0.058751029182215524,0.2423861159023254,0.47518784204092357
AIO,sea_mean,20,300,sqrt,2,1,0.17711535485890811,0.06763876689375108,0.26007454103343347,0.4666260460058156
AIO,sea_median,20,300,sqrt,2,1,0.1814689446139836,0.07143960154171974,0.2672818765680153,0.45777065196695077
AIO,sea_mode,20,300,sqrt,2,1,0.16968008785461344,0.06103981052978671,0.24706236162108283,0.46168289644654836
AIO,"(37.895835876464844, 15.333335876464844)",20,300,sqrt,5,1,0.18235572536714945,0.07188676327479523,0.2681170700921432,0.45467742123493693
AIO,"(37.9375, 15.375)",20,300,sqrt,5,1,0.17611504143399495,0.0658830049880204,0.25667684934177526,0.4667579893413195
AIO,"(37.895835876464844, 15.375)",20,300,sqrt,5,1,0.1809175926826707,0.07071563493899787,0.26592411500087365,0.47542253271796764
AIO,"(37.85416793823242, 15.333335876464844)",20,300,sqrt,5,1,0.18236654194079494,0.07231510912126858,0.26891468744058694,0.46307247569889265
AIO,"(37.97916793823242, 15.416667938232422)",20,300,sqrt,5,1,0.16664111910980986,0.05838552583038821,0.24163097034608003,0.4784528163823746
AIO,sea_mean,20,300,sqrt,5,1,0.17714685514603337,0.06727487116329606,0.2593739986261076,0.4694955912903902
AIO,sea_median,20,300,sqrt,5,1,0.18147919547358915,0.07104795425042548,0.26654822124791133,0.4607432701063925
AIO,sea_mode,20,300,sqrt,5,1,0.16954281467508683,0.06065839391982148,0.24628924848604633,0.4650466533609553
AIO,"(37.895835876464844, 15.333335876464844)",20,300,sqrt,10,1,0.18134228403321803,0.07157526207685141,0.26753553423209303,0.45704042422481683
AIO,"(37.9375, 15.375)",20,300,sqrt,10,1,0.17516352376777064,0.06561671361580157,0.25615759527252274,0.4689132909516338
AIO,"(37.895835876464844, 15.375)",20,300,sqrt,10,1,0.1799254830091042,0.0704653376765867,0.26545307999077106,0.47727926926705655
AIO,"(37.85416793823242, 15.333335876464844)",20,300,sqrt,10,1,0.18123765064408556,0.0720037789267759,0.26833519882187634,0.46538405003792616
AIO,"(37.97916793823242, 15.416667938232422)",20,300,sqrt,10,1,0.1659240380723004,0.058163828581637454,0.2411717823080417,0.48043319720548516
AIO,sea_mean,20,300,sqrt,10,1,0.17618335183107453,0.06700977336499718,0.25886246032400523,0.4715860531271048
AIO,sea_median,20,300,sqrt,10,1,0.1804943020013759,0.07077327034773868,0.2660324610789794,0.4628281315873465
