Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2
AIO,"(37.895835876464844, 15.333335876464844)",30,200,sqrt,2,1,0.18841886918447143,0.07781268702564627,0.2789492552878503,0.5938034660301069
AIO,"(37.9375, 15.375)",30,200,sqrt,2,1,0.18124354127638698,0.06948994266372352,0.26360945101366057,0.5965118651481773
AIO,"(37.895835876464844, 15.375)",30,200,sqrt,2,1,0.18750250568872381,0.07654732523572348,0.2766718728669821,0.6090642219232818
AIO,"(37.85416793823242, 15.333335876464844)",30,200,sqrt,2,1,0.18921976377295377,0.07931984770676562,0.2816377952384332,0.6053899481482476
AIO,"(37.97916793823242, 15.416667938232422)",30,200,sqrt,2,1,0.17140379092662303,0.06044943775454775,0.2458646736612394,0.5982503364502727
AIO,sea_mean,30,200,sqrt,2,1,0.1822065813983095,0.07151901471319129,0.2674303922765535,0.604372367039135
AIO,sea_median,30,200,sqrt,2,1,0.18794250934362614,0.07703532787033202,0.27755238761418,0.5980382774745596
AIO,sea_mode,30,200,sqrt,2,1,0.1740863738353063,0.06288889034969501,0.25077657456328534,0.5867762956418157
AIO,"(37.895835876464844, 15.333335876464844)",30,200,sqrt,5,1,0.18940140590235635,0.07840333028781145,0.280005946879368,0.5907201995979235
AIO,"(37.9375, 15.375)",30,200,sqrt,5,1,0.18226173788062763,0.07007651498888817,0.2647196913508479,0.5931059769812852
AIO,"(37.895835876464844, 15.375)",30,200,sqrt,5,1,0.18843234092053018,0.0771761520468422,0.27780596114346107,0.6058527328487364
AIO,"(37.85416793823242, 15.333335876464844)",30,200,sqrt,5,1,0.19011047697050631,0.07986829624919213,0.28260979503405775,0.6026614594531479
AIO,"(37.97916793823242, 15.416667938232422)",30,200,sqrt,5,1,0.17244641569654579,0.06091376605838687,0.24680714345088733,0.5951643898017458
AIO,sea_mean,30,200,sqrt,5,1,0.1831086913128756,0.07210059397349523,0.2685155376761189,0.6011551970731353
AIO,sea_median,30,200,sqrt,5,1,0.18890965906907384,0.07767308192199544,0.27869890907930633,0.5947105481815045
AIO,sea_mode,30,200,sqrt,5,1,0.1753242558243857,0.06340872890846888,0.251810899105795,0.5833605951304804
AIO,"(37.895835876464844, 15.333335876464844)",30,200,sqrt,10,1,0.1900807318769447,0.07853482181575157,0.28024064982752156,0.5900337896442603
AIO,"(37.9375, 15.375)",30,200,sqrt,10,1,0.18323556695576038,0.07019950197925126,0.26495188615907467,0.592391862255464
AIO,"(37.895835876464844, 15.375)",30,200,sqrt,10,1,0.18914749633640293,0.07730942705638762,0.2780457283548654,0.6051720824224234
AIO,"(37.85416793823242, 15.333335876464844)",30,200,sqrt,10,1,0.19074158821314516,0.07996304674349271,0.28277738018358667,0.6021900831387713
AIO,"(37.97916793823242, 15.416667938232422)",30,200,sqrt,10,1,0.17321975221870603,0.060985309172812266,0.24695203820339742,0.5946889110674951
AIO,sea_mean,30,200,sqrt,10,1,0.1839369043384683,0.0722135946578974,0.26872587269910836,0.6005301018663253
AIO,sea_median,30,200,sqrt,10,1,0.1896512041867035,0.07779962426527852,0.27892584008169363,0.5940502643911365
AIO,sea_mode,30,200,sqrt,10,1,0.17595477458737413,0.06352103247564439,0.2520337923288153,0.5826226826664052
AIO,"(37.895835876464844, 15.333335876464844)",30,200,sqrt,2,3,0.18855492223925713,0.07818529407618807,0.2796163337077934,0.5918583887136927
AIO,"(37.9375, 15.375)",30,200,sqrt,2,3,0.1816360557971415,0.06987245369111345,0.26433398134010966,0.5942908435861263
AIO,"(37.895835876464844, 15.375)",30,200,sqrt,2,3,0.187569117765863,0.07687818746586028,0.27726916068300905,0.607374471393444
AIO,"(37.85416793823242, 15.333335876464844)",30,200,sqrt,2,3,0.18914207779035508,0.07957080590583662,0.28208297698697915,0.6041414506938132
AIO,"(37.97916793823242, 15.416667938232422)",30,200,sqrt,2,3,0.17174194656010902,0.06074602990314718,0.24646709699906635,0.5962791717821225
AIO,sea_mean,30,200,sqrt,2,3,0.1824590396315889,0.07185320855173602,0.2680544880275949,0.6025236794163571
AIO,sea_median,30,200,sqrt,2,3,0.18809640902274527,0.07743966279904392,0.2782798282287883,0.595928503051378
AIO,sea_mode,30,200,sqrt,2,3,0.174496875392502,0.06322654642783415,0.25144889426647743,0.5845576606073626
AIO,"(37.895835876464844, 15.333335876464844)",30,200,sqrt,5,3,0.1883743384643974,0.07816475663266549,0.27957960696850814,0.5919655979451734
AIO,"(37.9375, 15.375)",30,200,sqrt,5,3,0.18151242570430662,0.0698538462563752,0.26429878216967856,0.5943988862589091
AIO,"(37.895835876464844, 15.375)",30,200,sqrt,5,3,0.18746965703264548,0.07690862540063347,0.2773240440362744,0.6072190214456247
AIO,"(37.85416793823242, 15.333335876464844)",30,200,sqrt,5,3,0.18905624601540644,0.0795817933381084,0.2821024518470345,0.6040867890757713
AIO,"(37.97916793823242, 15.416667938232422)",30,200,sqrt,5,3,0.17175109411668743,0.06073146355975795,0.24643754494751394,0.5963759803509554
AIO,sea_mean,30,200,sqrt,5,3,0.18218775851139546,0.07184859271131024,0.26804587799723806,0.6025492132415796
AIO,sea_median,30,200,sqrt,5,3,0.1878606195606254,0.07739803689581191,0.278205026726355,0.5961457023575584
AIO,sea_mode,30,200,sqrt,5,3,0.17433768811098424,0.06319340232369636,0.2513829793834427,0.5847754403998393
AIO,"(37.895835876464844, 15.333335876464844)",30,200,sqrt,10,3,0.18936064779537495,0.07871803600735246,0.2805673466520159,0.5890773778758576
AIO,"(37.9375, 15.375)",30,200,sqrt,10,3,0.18234321497233544,0.07022963247164535,0.2650087403683987,0.5922169118135404
AIO,"(37.895835876464844, 15.375)",30,200,sqrt,10,3,0.188294589498021,0.07738537950924891,0.2781822774895067,0.6047841847243036
AIO,"(37.85416793823242, 15.333335876464844)",30,200,sqrt,10,3,0.18974916707490525,0.08013189848020294,0.28307578222130364,0.6013500589266119
AIO,"(37.97916793823242, 15.416667938232422)",30,200,sqrt,10,3,0.1724531835736635,0.06089670784938634,0.2467725832611604,0.5952777594207412
AIO,sea_mean,30,200,sqrt,10,3,0.18315185902146294,0.072279443749225,0.26884836571797305,0.6001658390162421
AIO,sea_median,30,200,sqrt,10,3,0.1888776755128653,0.07792237509636041,0.2791457954122906,0.59340976428726
AIO,sea_mode,30,200,sqrt,10,3,0.1752581053681969,0.06348219677029174,0.25195673590974255,0.5828778602333482
AIO,"(37.895835876464844, 15.333335876464844)",30,200,sqrt,2,5,0.18925734313149079,0.07954570571904537,0.282038482691716,0.5847567897942415
AIO,"(37.9375, 15.375)",30,200,sqrt,2,5,0.18223546808050045,0.0709663618106422,0.26639512347383953,0.5879391482194478
AIO,"(37.895835876464844, 15.375)",30,200,sqrt,2,5,0.18831057750698504,0.07820304709431675,0.27964807722263485,0.6006082646305283
