Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2
AIO,"(37.895835876464844, 15.333335876464844)",30,100,sqrt,5,1,0.21818403977312578,0.09459794436495231,0.30756778824342496,0.4571969432743459
AIO,"(37.9375, 15.375)",30,100,sqrt,5,1,0.21106038865227375,0.08752223403526278,0.29584156914683707,0.4673396176849465
AIO,"(37.895835876464844, 15.375)",30,100,sqrt,5,1,0.21857920894170849,0.09467403157531104,0.3076914551548532,0.47164342665406667
AIO,"(37.85416793823242, 15.333335876464844)",30,100,sqrt,5,1,0.21910160517911204,0.09608631463659308,0.3099779260473124,0.4634355566766676
AIO,"(37.97916793823242, 15.416667938232422)",30,100,sqrt,5,1,0.2005568396292545,0.07889073461469999,0.2808749447969683,0.47834454646943936
AIO,sea_mean,30,100,sqrt,5,1,0.2129631342585555,0.08963614233949016,0.2993929563959215,0.4693473553680526
AIO,sea_median,30,100,sqrt,5,1,0.21835912753063436,0.09445455510172149,0.3073345979575379,0.459434411384247
AIO,sea_mode,30,100,sqrt,5,1,0.20214999422874969,0.08057230915362643,0.2838526187189867,0.4701937080168982
AIO,"(37.895835876464844, 15.333335876464844)",30,100,sqrt,5,3,0.2179688764343569,0.095141500617305,0.30845015904892154,0.45407801719978846
AIO,"(37.9375, 15.375)",30,100,sqrt,5,3,0.211009777933252,0.08810167676642928,0.29681926616449494,0.4638131287862688
AIO,"(37.895835876464844, 15.375)",30,100,sqrt,5,3,0.21846503581639148,0.09515022802216701,0.3084643059126404,0.46898587084162424
AIO,"(37.85416793823242, 15.333335876464844)",30,100,sqrt,5,3,0.2189610984196843,0.09650748972063271,0.3106565462381772,0.4610836340811961
AIO,"(37.97916793823242, 15.416667938232422)",30,100,sqrt,5,3,0.2007607846446362,0.07950796077529856,0.2819715602242513,0.4742632130364258
AIO,sea_mean,30,100,sqrt,5,3,0.21288838388830472,0.09016107435114461,0.3002683372437803,0.4662397187276739
AIO,sea_median,30,100,sqrt,5,3,0.2181426770907129,0.09498217459291006,0.3081917821631687,0.4564148329159313
AIO,sea_mode,30,100,sqrt,5,3,0.20226373211386955,0.08118804549788278,0.2849351601643482,0.46614491020017323
AIO,"(37.895835876464844, 15.333335876464844)",30,100,sqrt,5,5,0.22048846451849244,0.0969129166754306,0.31130839480397987,0.4439136308852828
AIO,"(37.9375, 15.375)",30,100,sqrt,5,5,0.21315312252344099,0.08948308544320188,0.29913723513331114,0.45540587453809045
AIO,"(37.895835876464844, 15.375)",30,100,sqrt,5,5,0.2208134053090193,0.09702009822208822,0.31148049412778356,0.4585505044059386
AIO,"(37.85416793823242, 15.333335876464844)",30,100,sqrt,5,5,0.22139648913400636,0.09849625811833582,0.31384113515971074,0.44997796921884314
AIO,"(37.97916793823242, 15.416667938232422)",30,100,sqrt,5,5,0.20240850545818256,0.08044810122512101,0.2836337448631968,0.4680466478703159
AIO,sea_mean,30,100,sqrt,5,5,0.2151338495978554,0.0917495669268699,0.3029019097445077,0.4568357242642098
AIO,sea_median,30,100,sqrt,5,5,0.220615363932017,0.09675138370498267,0.311048844564616,0.44628960852604427
AIO,sea_mode,30,100,sqrt,5,5,0.20420764993289806,0.08224912363344115,0.286791080114848,0.45916775044876723
AIO,"(37.895835876464844, 15.333335876464844)",30,100,log2,5,1,0.21942048365863145,0.09414806767658791,0.3068355710744566,0.4597783359592833
AIO,"(37.9375, 15.375)",30,100,log2,5,1,0.21233383454292593,0.08697493468571148,0.2949151313271523,0.4706704819388836
AIO,"(37.895835876464844, 15.375)",30,100,log2,5,1,0.2197537618338778,0.09407256103888169,0.30671250551433615,0.47500011175882595
AIO,"(37.85416793823242, 15.333335876464844)",30,100,log2,5,1,0.22032838614766864,0.09558890946075095,0.3091745614709447,0.46621316275190605
AIO,"(37.97916793823242, 15.416667938232422)",30,100,log2,5,1,0.20188876684705542,0.07830694326488868,0.27983377791983705,0.4822047962546694
AIO,sea_mean,30,100,log2,5,1,0.2142018229636888,0.0891029909421494,0.2985012411065478,0.4725036513844135
AIO,sea_median,30,100,log2,5,1,0.21957557537738184,0.0939687507931953,0.30654322826184777,0.46221468060162574
AIO,sea_mode,30,100,log2,5,1,0.20349783898210197,0.07999202970314383,0.282828622496281,0.4740093576762371
AIO,"(37.895835876464844, 15.333335876464844)",30,100,log2,5,3,0.21827844284510844,0.0947776656347049,0.30785981490721537,0.4561657025297905
AIO,"(37.9375, 15.375)",30,100,log2,5,3,0.21129908385868623,0.08772398466035256,0.2961823503525363,0.4661117632285655
AIO,"(37.895835876464844, 15.375)",30,100,log2,5,3,0.21849584645482523,0.09468282824315996,0.30770574944768253,0.4715943342344857
AIO,"(37.85416793823242, 15.333335876464844)",30,100,log2,5,3,0.2190886259933219,0.09615112121786433,0.31008244261464457,0.4630736642746641
AIO,"(37.97916793823242, 15.416667938232422)",30,100,log2,5,3,0.2009481053127069,0.07914196866589208,0.2813218240128058,0.4766832916521656
AIO,sea_mean,30,100,log2,5,3,0.21309363309288776,0.08977762238831662,0.2996291414203842,0.4685097829322815
AIO,sea_median,30,100,log2,5,3,0.21842550326914806,0.09458545347500387,0.3075474816593429,0.4586852769870119
AIO,sea_mode,30,100,log2,5,3,0.202599575469366,0.08093013510965688,0.2844822228359039,0.46784080979502474
AIO,"(37.895835876464844, 15.333335876464844)",30,100,log2,5,5,0.2175547043842504,0.09405462454177842,0.3066832642023011,0.4603145127181455
AIO,"(37.9375, 15.375)",30,100,log2,5,5,0.2102000846332201,0.0867518752178044,0.2945367128522426,0.47202802202871386
AIO,"(37.895835876464844, 15.375)",30,100,log2,5,5,0.2178463356307992,0.09396225042893658,0.30653262539073484,0.4756157329054541
AIO,"(37.85416793823242, 15.333335876464844)",30,100,log2,5,5,0.21853462568812385,0.09548565105448542,0.30900752588648295,0.46678977753295847
AIO,"(37.97916793823242, 15.416667938232422)",30,100,log2,5,5,0.19970323804386633,0.0779292412563488,0.2791580936608301,0.48470230516400536
AIO,sea_mean,30,100,log2,5,5,0.21218330514903092,0.08891510986431019,0.2981863676701371,0.4736159213709339
AIO,sea_median,30,100,log2,5,5,0.21771955501768445,0.09385437546385597,0.30635661485245586,0.46286925323881467
AIO,sea_mode,30,100,log2,5,5,0.2012679278883533,0.07967017244414554,0.28225905201453777,0.47612574235887783
AIO,"(37.895835876464844, 15.333335876464844)",30,100,0.5,5,1,0.22164991656623564,0.09887327496999264,0.3144412106737802,0.43266509391432517
AIO,"(37.9375, 15.375)",30,100,0.5,5,1,0.21441799753499596,0.09135265576982816,0.3022460186170004,0.4440276681209141
AIO,"(37.895835876464844, 15.375)",30,100,0.5,5,1,0.2220758750579419,0.09912023596892829,0.31483366397024365,0.4468300614818176
AIO,"(37.85416793823242, 15.333335876464844)",30,100,0.5,5,1,0.22270451394748816,0.10064546905155632,0.31724670061571375,0.4379763624101177
AIO,"(37.97916793823242, 15.416667938232422)",30,100,0.5,5,1,0.203904629017366,0.08218311166122297,0.28667596980078913,0.45657410093124395
AIO,sea_mean,30,100,0.5,5,1,0.21639338941536232,0.09369919553196795,0.3061032432562059,0.4452937775857484
AIO,sea_median,30,100,0.5,5,1,0.22176842210092526,0.09870973195172075,0.3141810496381358,0.43508193652364535
AIO,sea_mode,30,100,0.5,5,1,0.20555264465873033,0.08397118375677998,0.2897778179170724,0.4478442784259099
AIO,"(37.895835876464844, 15.333335876464844)",30,100,0.5,5,3,0.22184719727026075,0.09920741592046048,0.3149720875259592,0.43074779295700794
AIO,"(37.9375, 15.375)",30,100,0.5,5,3,0.21455781557876008,0.09154207630183528,0.302559211232835,0.44287485462032883
AIO,"(37.895835876464844, 15.375)",30,100,0.5,5,3,0.2221726562067758,0.09940744138811021,0.3152894565127578,0.44522722627346767
AIO,"(37.85416793823242, 15.333335876464844)",30,100,0.5,5,3,0.2229451955470787,0.10106042978912434,0.3179000311247615,0.43565914191939203
AIO,"(37.97916793823242, 15.416667938232422)",30,100,0.5,5,3,0.2040525656349022,0.0822030818696726,0.28671079831368856,0.45644205034004626
AIO,sea_mean,30,100,0.5,5,3,0.21647481558357742,0.09393335624479976,0.3064854910836723,0.4439075287101276
AIO,sea_median,30,100,0.5,5,3,0.22195257491135886,0.09905171923594787,0.314724830980887,0.4331247354400317
AIO,sea_mode,30,100,0.5,5,3,0.20564702916687724,0.08406274265286838,0.2899357560785982,0.44724222941249303
