Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2
AIO,"(37.895835876464844, 15.333335876464844)",10,100,sqrt,2,1,0.1910595663440683,0.07303439645500595,0.2702487677215309,0.49446885468311996
AIO,"(37.9375, 15.375)",10,100,sqrt,2,1,0.18570007669529218,0.06867262890588745,0.2620546296211678,0.5011956525003347
AIO,"(37.895835876464844, 15.375)",10,100,sqrt,2,1,0.19170423957047403,0.0729434805074634,0.2700805074555796,0.5116035862447338
AIO,"(37.85416793823242, 15.333335876464844)",10,100,sqrt,2,1,0.19240522905243368,0.07398605116768878,0.272003770502706,0.5027689999491635
AIO,"(37.97916793823242, 15.416667938232422)",10,100,sqrt,2,1,0.17833885886899922,0.06319938216888366,0.25139487299641505,0.5068748843482729
AIO,sea_mean,10,100,sqrt,2,1,0.1868797419479313,0.0695814523962855,0.26378296456800526,0.5061594942796359
AIO,sea_median,10,100,sqrt,2,1,0.19129275230767498,0.07297526847450973,0.2701393501038117,0.49659287610387437
AIO,sea_mode,10,100,sqrt,2,1,0.17870703896922985,0.06410861528087466,0.25319679160857206,0.5005912235063499
AIO,"(37.895835876464844, 15.333335876464844)",10,100,sqrt,2,3,0.1903389584266156,0.0727305015050009,0.2696859312329824,0.49657236165502616
AIO,"(37.9375, 15.375)",10,100,sqrt,2,3,0.18496325161603283,0.06848220562344326,0.2616910499490635,0.502578793974043
AIO,"(37.895835876464844, 15.375)",10,100,sqrt,2,3,0.1909614700787987,0.07265026363448676,0.26953712848972544,0.5135668332438904
AIO,"(37.85416793823242, 15.333335876464844)",10,100,sqrt,2,3,0.19164305872196988,0.07357225912582131,0.2712420673970417,0.5055499326728807
AIO,"(37.97916793823242, 15.416667938232422)",10,100,sqrt,2,3,0.17770182239128696,0.0630559709463928,0.25110948000104016,0.5079938774974082
AIO,sea_mean,10,100,sqrt,2,3,0.18612088730149354,0.06931905545456184,0.2632851219772242,0.5080218043340781
AIO,sea_median,10,100,sqrt,2,3,0.19063639836599686,0.07268519842109622,0.26960192584827025,0.49859387362494967
AIO,sea_mode,10,100,sqrt,2,3,0.1781198217488327,0.06400629110430714,0.25299464639455743,0.5013883330929698
AIO,"(37.895835876464844, 15.333335876464844)",10,100,sqrt,2,5,0.19177386309782088,0.07346108245517237,0.271037049967661,0.4915154098293968
AIO,"(37.9375, 15.375)",10,100,sqrt,2,5,0.18629628920744054,0.06917100323934708,0.2630038084122492,0.49757570539517004
AIO,"(37.895835876464844, 15.375)",10,100,sqrt,2,5,0.1921492785342784,0.0733424516030883,0.2708181153525153,0.5089322570054431
AIO,"(37.85416793823242, 15.333335876464844)",10,100,sqrt,2,5,0.19295367179135695,0.07420295069608823,0.2724021855567393,0.5013113039684417
AIO,"(37.97916793823242, 15.416667938232422)",10,100,sqrt,2,5,0.17876953797935133,0.06367761166469267,0.2523442324775676,0.503143408385443
AIO,sea_mean,10,100,sqrt,2,5,0.18742490370509476,0.0699972252829026,0.26456988733206693,0.5032086289912482
AIO,sea_median,10,100,sqrt,2,5,0.19201184011098948,0.0734504117826628,0.27101736435635043,0.4933151831101258
AIO,sea_mode,10,100,sqrt,2,5,0.17925386844870794,0.06460834624488862,0.25418171894313846,0.4966982985348656
AIO,"(37.895835876464844, 15.333335876464844)",10,100,log2,2,1,0.19018331539204464,0.07284629061650195,0.2699005198522262,0.4957708899513692
AIO,"(37.9375, 15.375)",10,100,log2,2,1,0.18505113206590484,0.06853348017335659,0.2617889993360236,0.5022063607525349
AIO,"(37.895835876464844, 15.375)",10,100,log2,2,1,0.19079099211291037,0.07268018502265237,0.26959262790857685,0.5133664932193536
AIO,"(37.85416793823242, 15.333335876464844)",10,100,log2,2,1,0.19152643263455993,0.07370679704850851,0.2714899575463308,0.5046457564830892
AIO,"(37.97916793823242, 15.416667938232422)",10,100,log2,2,1,0.17780998787517965,0.06301164613630261,0.251021206546982,0.5083397301996316
AIO,sea_mean,10,100,log2,2,1,0.18610314876125147,0.06937998070459318,0.2634007986028007,0.5075893995013179
AIO,sea_median,10,100,log2,2,1,0.19046911334315725,0.07279333048675901,0.2698023915512222,0.4978479434856824
AIO,sea_mode,10,100,log2,2,1,0.17815984043599475,0.06395653801151743,0.25289629892807336,0.5017759117528429
AIO,"(37.895835876464844, 15.333335876464844)",10,100,log2,2,3,0.19160773914800489,0.07355389647223277,0.2712082160854143,0.4908729676566199
AIO,"(37.9375, 15.375)",10,100,log2,2,3,0.18646764870771104,0.06925308201701262,0.2631598031938248,0.4969795253480491
AIO,"(37.895835876464844, 15.375)",10,100,log2,2,3,0.19214841191506768,0.0734441336822808,0.271005781639951,0.5082514399882772
AIO,"(37.85416793823242, 15.333335876464844)",10,100,log2,2,3,0.19284073070398677,0.07431587392674853,0.2726093797482921,0.5005523915785517
AIO,"(37.97916793823242, 15.416667938232422)",10,100,log2,2,3,0.17925529531446724,0.06370653388660892,0.2524015330512256,0.5029177372864876
AIO,sea_mean,10,100,log2,2,3,0.18742152778659377,0.07009214708082499,0.264749215448932,0.502534940428053
AIO,sea_median,10,100,log2,2,3,0.19184992762039527,0.0735122263480461,0.27113138207895837,0.49288876614414545
AIO,sea_mode,10,100,log2,2,3,0.17962761843306613,0.0646558493983547,0.25427514506603804,0.49632824699579947
AIO,"(37.895835876464844, 15.333335876464844)",10,100,log2,2,5,0.18971536669925604,0.07166678275372289,0.2677065235546622,0.5039352342839512
AIO,"(37.9375, 15.375)",10,100,log2,2,5,0.18465138373651513,0.06753831181667247,0.25988134180173933,0.5094347763631912
AIO,"(37.895835876464844, 15.375)",10,100,log2,2,5,0.190349325747097,0.07156960346490515,0.26752495858312947,0.5208024428917988
AIO,"(37.85416793823242, 15.333335876464844)",10,100,log2,2,5,0.19076801533456345,0.0723989304771997,0.26907049350904255,0.5134354106533193
AIO,"(37.97916793823242, 15.416667938232422)",10,100,log2,2,5,0.17754442161770967,0.062239398807660766,0.24947825317582445,0.5143653358334117
AIO,sea_mean,10,100,log2,2,5,0.18567454645316742,0.06832130169815408,0.26138343807164616,0.5151031629818188
AIO,sea_median,10,100,log2,2,5,0.19005971045080255,0.07163803819841127,0.2676528314784121,0.5058175252398032
AIO,sea_mode,10,100,log2,2,5,0.177875693359498,0.06314782407061603,0.2512923080211888,0.5080758269512828
AIO,"(37.895835876464844, 15.333335876464844)",10,100,0.5,2,1,0.19616358439983836,0.07758468522356118,0.2785402757655725,0.4629725624654193
AIO,"(37.9375, 15.375)",10,100,0.5,2,1,0.19058065830670262,0.07305551321894403,0.2702878340194838,0.4693605271414847
AIO,"(37.895835876464844, 15.375)",10,100,0.5,2,1,0.19672005436447698,0.07757981553331948,0.27853153418117577,0.4805607927854285
AIO,"(37.85416793823242, 15.333335876464844)",10,100,0.5,2,1,0.1974746189927436,0.07858958359151651,0.28033833771269406,0.4718304785016778
AIO,"(37.97916793823242, 15.416667938232422)",10,100,0.5,2,1,0.18265264542232845,0.06723336154323975,0.2592939674254682,0.475398998394194
AIO,sea_mean,10,100,0.5,2,1,0.19185853427719748,0.07402474741188304,0.27207489302007093,0.47462409250229964
AIO,sea_median,10,100,0.5,2,1,0.19637931058199212,0.07753842319461295,0.27845721968484305,0.46511475150687387
AIO,sea_mode,10,100,0.5,2,1,0.1831193215003556,0.06817101567872692,0.26109579789557497,0.46894495563065064
AIO,"(37.895835876464844, 15.333335876464844)",10,100,0.5,2,3,0.1937623341394387,0.07537211142670508,0.27453981756150614,0.47828760606014353
AIO,"(37.9375, 15.375)",10,100,0.5,2,3,0.18822556608308666,0.07077172848318608,0.2660295631751969,0.4859488210964257
AIO,"(37.895835876464844, 15.375)",10,100,0.5,2,3,0.19426606200828753,0.0753712427430108,0.27453823548462386,0.49534839303153766
AIO,"(37.85416793823242, 15.333335876464844)",10,100,0.5,2,3,0.1948513428624743,0.07634446760606826,0.2763050263858192,0.48691901544960015
AIO,"(37.97916793823242, 15.416667938232422)",10,100,0.5,2,3,0.18057800716497352,0.06499043204715448,0.2549322106897331,0.49289987940281066
AIO,sea_mean,10,100,0.5,2,3,0.18942138696357777,0.07177513391287023,0.2679088164149702,0.4905902764459844
AIO,sea_median,10,100,0.5,2,3,0.19402921533260897,0.0753685631570524,0.2745333552722736,0.48008315139905167
AIO,sea_mode,10,100,0.5,2,3,0.18089293544850021,0.06592782426014815,0.25676414130510544,0.4864195099769787
AIO,"(37.895835876464844, 15.333335876464844)",10,100,0.5,2,5,0.19501756707101833,0.07642293176742021,0.2764469782208158,0.47101401394260933
AIO,"(37.9375, 15.375)",10,100,0.5,2,5,0.18931021543581963,0.07182812270916934,0.2680076915112127,0.47827569075338705
AIO,"(37.895835876464844, 15.375)",10,100,0.5,2,5,0.1953901906506022,0.07638388613087048,0.2763763487183201,0.4885681928600769
AIO,"(37.85416793823242, 15.333335876464844)",10,100,0.5,2,5,0.19614340097505878,0.07735954856613671,0.27813584552541354,0.48009705762185473
AIO,"(37.97916793823242, 15.416667938232422)",10,100,0.5,2,5,0.18156964077427845,0.06599367753842911,0.2568923462044541,0.48507186697715343
AIO,sea_mean,10,100,0.5,2,5,0.19057960023875525,0.07280924707519601,0.26983188669094693,0.48325086415337304
AIO,sea_median,10,100,0.5,2,5,0.19525775102350684,0.07639874242027717,0.27640322433046466,0.47297663996252903
AIO,sea_mode,10,100,0.5,2,5,0.18201896678131244,0.06694817745154999,0.2587434587608931,0.4784709162243789
CAVT,"(37.5625, 12.75)",10,100,sqrt,2,1,0.16871256695055936,0.07214178503379079,0.2685922281708665,0.8386277687511147
CAVT,"(37.5625, 12.791667938232422)",10,100,sqrt,2,1,0.16399029589970332,0.067954915188166,0.2606816356941279,0.8389218593056634
CAVT,"(37.5625, 12.708333969116211)",10,100,sqrt,2,1,0.17364423576049035,0.07647364768852276,0.2765386911239054,0.8389307823767209
CAVT,"(37.5625, 12.833333969116211)",10,100,sqrt,2,1,0.15880212902493687,0.06337564549030514,0.2517451995377571,0.8397651617217076
