Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2
AIO,"(37.895835876464844, 15.333335876464844)",10,200,sqrt,2,1,0.21221405618791456,0.09720300406449904,0.3117739630958606,0.3901792557778101
AIO,"(37.9375, 15.375)",10,200,sqrt,2,1,0.20126613702153318,0.0874601067406076,0.2957365495514675,0.3987819327793065
AIO,"(37.895835876464844, 15.375)",10,200,sqrt,2,1,0.21151130702958282,0.09719616692213658,0.31176299800030244,0.4050272637441603
AIO,"(37.85416793823242, 15.333335876464844)",10,200,sqrt,2,1,0.21482001301675685,0.0994584132223729,0.3153702795483,0.3947311269681202
AIO,"(37.97916793823242, 15.416667938232422)",10,200,sqrt,2,1,0.1862598673983596,0.07621459353122924,0.276069906964213,0.40446955509221105
AIO,sea_mean,10,200,sqrt,2,1,0.20396748136931525,0.09023270346620195,0.30038758873529037,0.40168057763049936
AIO,sea_median,10,200,sqrt,2,1,0.21148424519103248,0.09664722653615809,0.31088137051962134,0.3937162178922563
AIO,sea_mode,10,200,sqrt,2,1,0.1892599872980368,0.07817062400470468,0.27959009997620565,0.3941134504225672
AIO,"(37.895835876464844, 15.333335876464844)",10,200,sqrt,5,1,0.213810181789164,0.10089077798994699,0.31763308705162785,0.3670433346055837
AIO,"(37.9375, 15.375)",10,200,sqrt,5,1,0.20277843228938056,0.0906350670601151,0.3010565844822449,0.37695662775814964
AIO,"(37.895835876464844, 15.375)",10,200,sqrt,5,1,0.21317305913268578,0.10096286599722001,0.3177465436432315,0.3819699423875471
AIO,"(37.85416793823242, 15.333335876464844)",10,200,sqrt,5,1,0.21657380298950418,0.1033924503582959,0.32154696446755004,0.37078996254996466
AIO,"(37.97916793823242, 15.416667938232422)",10,200,sqrt,5,1,0.18749940745905275,0.07880194971813742,0.28071684972252275,0.38425230653478115
AIO,sea_mean,10,200,sqrt,5,1,0.20557618808538602,0.09364900857165015,0.30602125509782835,0.3790275746857813
AIO,sea_median,10,200,sqrt,5,1,0.21309006712699932,0.10035527046311593,0.3167889999086394,0.37045505482704866
AIO,sea_mode,10,200,sqrt,5,1,0.19046643925334747,0.08073656440324216,0.2841418033363661,0.3742253045329086
AIO,"(37.895835876464844, 15.333335876464844)",10,200,sqrt,10,1,0.212726226709703,0.09986607841413717,0.3160159464554553,0.3734719739664605
AIO,"(37.9375, 15.375)",10,200,sqrt,10,1,0.20227469842336512,0.0902065907531139,0.300344120556927,0.3799020586150905
AIO,"(37.895835876464844, 15.375)",10,200,sqrt,10,1,0.21222616306265094,0.1002956549385443,0.3166948925046697,0.3860541815279491
AIO,"(37.85416793823242, 15.333335876464844)",10,200,sqrt,10,1,0.21523989811722,0.10217818469780328,0.31965322569591453,0.3781795556881986
AIO,"(37.97916793823242, 15.416667938232422)",10,200,sqrt,10,1,0.18753161352157294,0.0788829351912302,0.28086106029713376,0.38361949708730636
AIO,sea_mean,10,200,sqrt,10,1,0.20477402982274182,0.09302259045056942,0.304996049893387,0.38318125859382457
AIO,sea_median,10,200,sqrt,10,1,0.21214780328553115,0.09954156103822964,0.3155020777082611,0.3755595864865495
AIO,sea_mode,10,200,sqrt,10,1,0.19038267880945575,0.08054136114213002,0.2837980992574299,0.37573829015695026
AIO,"(37.895835876464844, 15.333335876464844)",10,200,sqrt,2,3,0.21345302428553878,0.10204834473788331,0.31945006611031296,0.35978112884859914
AIO,"(37.9375, 15.375)",10,200,sqrt,2,3,0.20277433090390495,0.09210228910999879,0.3034835895233856,0.3668706532734525
AIO,"(37.895835876464844, 15.375)",10,200,sqrt,2,3,0.21287289883390395,0.10239349371638418,0.31998983377036244,0.37321255497620565
AIO,"(37.85416793823242, 15.333335876464844)",10,200,sqrt,2,3,0.21617309502721782,0.1044748985990192,0.32322577032009564,0.36420256380157445
AIO,"(37.97916793823242, 15.416667938232422)",10,200,sqrt,2,3,0.18800951735742358,0.08051105383420241,0.2837446983367309,0.3708975999428361
AIO,sea_mean,10,200,sqrt,2,3,0.2053679040911878,0.09502631357377819,0.3082633834463286,0.3698948733297973
AIO,sea_median,10,200,sqrt,2,3,0.2128097314754637,0.10161894122612913,0.3187772595812461,0.36252784245896275
AIO,sea_mode,10,200,sqrt,2,3,0.190898353814898,0.08230637958159202,0.28689088445189753,0.3620579473703581
AIO,"(37.895835876464844, 15.333335876464844)",10,200,sqrt,5,3,0.21161969401045472,0.10020206568376831,0.31654709868164693,0.37136409665559367
AIO,"(37.9375, 15.375)",10,200,sqrt,5,3,0.2011516714076427,0.09029846339296552,0.30049702726144484,0.3792705079227745
AIO,"(37.895835876464844, 15.375)",10,200,sqrt,5,3,0.21108768004748804,0.10046118436164704,0.3169561237169067,0.38504091632508175
AIO,"(37.85416793823242, 15.333335876464844)",10,200,sqrt,5,3,0.2141955771166707,0.10262559340495692,0.32035229576976176,0.37545678387644577
AIO,"(37.97916793823242, 15.416667938232422)",10,200,sqrt,5,3,0.18640180679083404,0.07881453929353148,0.2807392728022417,0.38415393330875913
AIO,sea_mean,10,200,sqrt,5,3,0.20369017042972248,0.09320503821236686,0.30529500194462217,0.3819714750535127
AIO,sea_median,10,200,sqrt,5,3,0.21100335414190746,0.09978825900120594,0.31589279669091214,0.37401201001289264
AIO,sea_mode,10,200,sqrt,5,3,0.18928078174159083,0.08053442328243351,0.2837858757627545,0.37579206426872813
AIO,"(37.895835876464844, 15.333335876464844)",10,200,sqrt,10,3,0.21278123605655785,0.10003844061663263,0.31628854012852353,0.372390628306281
AIO,"(37.9375, 15.375)",10,200,sqrt,10,3,0.20205582605637615,0.09026910289895802,0.3004481700709093,0.3794723377640321
AIO,"(37.895835876464844, 15.375)",10,200,sqrt,10,3,0.21228977683992395,0.10044447158337168,0.31692975812216134,0.3851432212588648
AIO,"(37.85416793823242, 15.333335876464844)",10,200,sqrt,10,3,0.21549022561314957,0.10245785556145619,0.3200903865495748,0.376477577313734
AIO,"(37.97916793823242, 15.416667938232422)",10,200,sqrt,10,3,0.18726853022450896,0.0789206772043941,0.2809282420910972,0.38332458614112397
AIO,sea_mean,10,200,sqrt,10,3,0.20473739159972001,0.09315712993110568,0.30521652958368045,0.38228914762753285
AIO,sea_median,10,200,sqrt,10,3,0.2121540123648614,0.09968858565435158,0.3157349927618914,0.3746372771402797
AIO,sea_mode,10,200,sqrt,10,3,0.1901039883262278,0.0806071452342067,0.2839139750597119,0.37522840940477653
AIO,"(37.895835876464844, 15.333335876464844)",10,200,sqrt,2,5,0.2132021495786818,0.10388896999193645,0.3223181192423666,0.3482336311857077
AIO,"(37.9375, 15.375)",10,200,sqrt,2,5,0.20273098158190891,0.09413348106393145,0.30681180072469744,0.35290783815456106
AIO,"(37.895835876464844, 15.375)",10,200,sqrt,2,5,0.21281910911833166,0.10461111201298147,0.3234364110810369,0.35963771485977925
