,Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2,Station_Target
59,AIO,"(37.85416793823242, 15.333335876464844)",10,100,0.5,2,3,0.1948513428624743,0.0763444676060682,0.2763050263858192,0.4869190154496001,"AIO_(37.85416793823242, 15.333335876464844)"
60,AIO,"(37.97916793823242, 15.416667938232422)",10,100,0.5,2,3,0.1805780071649735,0.0649904320471544,0.2549322106897331,0.4928998794028106,"AIO_(37.97916793823242, 15.416667938232422)"
61,AIO,sea_mean,10,100,0.5,2,3,0.1894213869635777,0.0717751339128702,0.2679088164149702,0.4905902764459844,AIO_sea_mean
62,AIO,sea_median,10,100,0.5,2,3,0.1940292153326089,0.0753685631570524,0.2745333552722736,0.4800831513990516,AIO_sea_median
64,AIO,"(37.895835876464844, 15.333335876464844)",10,100,0.5,2,5,0.1950175670710183,0.0764229317674202,0.2764469782208158,0.4710140139426093,"AIO_(37.895835876464844, 15.333335876464844)"
65,AIO,"(37.9375, 15.375)",10,100,0.5,2,5,0.1893102154358196,0.0718281227091693,0.2680076915112127,0.478275690753387,"AIO_(37.9375, 15.375)"
66,AIO,"(37.895835876464844, 15.375)",10,100,0.5,2,5,0.1953901906506022,0.0763838861308704,0.2763763487183201,0.4885681928600769,"AIO_(37.895835876464844, 15.375)"
67,AIO,"(37.85416793823242, 15.333335876464844)",10,100,0.5,2,5,0.1961434009750587,0.0773595485661367,0.2781358455254135,0.4800970576218547,"AIO_(37.85416793823242, 15.333335876464844)"
68,AIO,"(37.97916793823242, 15.416667938232422)",10,100,0.5,2,5,0.1815696407742784,0.0659936775384291,0.2568923462044541,0.4850718669771534,"AIO_(37.97916793823242, 15.416667938232422)"
69,AIO,sea_mean,10,100,0.5,2,5,0.1905796002387552,0.072809247075196,0.2698318866909469,0.483250864153373,AIO_sea_mean
70,AIO,sea_median,10,100,0.5,2,5,0.1952577510235068,0.0763987424202771,0.2764032243304646,0.472976639962529,AIO_sea_median
72,CAVT,"(37.5625, 12.75)",10,100,sqrt,2,1,0.1687125669505593,0.0721417850337907,0.2685922281708665,0.8386277687511147,"CAVT_(37.5625, 12.75)"
73,CAVT,"(37.5625, 12.791667938232422)",10,100,sqrt,2,1,0.1639902958997033,0.067954915188166,0.2606816356941279,0.8389218593056634,"CAVT_(37.5625, 12.791667938232422)"
74,CAVT,"(37.5625, 12.708333969116211)",10,100,sqrt,2,1,0.1736442357604903,0.0764736476885227,0.2765386911239054,0.8389307823767209,"CAVT_(37.5625, 12.708333969116211)"
75,CAVT,"(37.5625, 12.833333969116211)",10,100,sqrt,2,1,0.1588021290249368,0.0633756454903051,0.2517451995377571,0.8397651617217076,"CAVT_(37.5625, 12.833333969116211)"
76,CAVT,"(37.5625, 12.666667938232422)",10,100,sqrt,2,1,0.1796338145663727,0.0817164872932605,0.2858609579730337,0.8397042419452139,"CAVT_(37.5625, 12.666667938232422)"
77,CAVT,sea_mean,10,100,sqrt,2,1,0.1685105255461151,0.0718804901039099,0.2681053712701592,0.8397470448451778,CAVT_sea_mean
78,CAVT,sea_median,10,100,sqrt,2,1,0.1687126166772859,0.0721459188233904,0.2685999233495617,0.8386044089632351,CAVT_sea_median
80,CAVT,"(37.5625, 12.75)",10,100,sqrt,2,3,0.1696006643941604,0.0739686763276534,0.2719718300259302,0.8345412393673228,"CAVT_(37.5625, 12.75)"
81,CAVT,"(37.5625, 12.791667938232422)",10,100,sqrt,2,3,0.1648108943811673,0.0696997120607107,0.2640070303244039,0.8347860490358606,"CAVT_(37.5625, 12.791667938232422)"
82,CAVT,"(37.5625, 12.708333969116211)",10,100,sqrt,2,3,0.1744335348018255,0.078373482542156,0.279952643391978,0.8349293397525308,"CAVT_(37.5625, 12.708333969116211)"
83,CAVT,"(37.5625, 12.833333969116211)",10,100,sqrt,2,3,0.1594997322891306,0.0650109164716679,0.2549723837431574,0.8356306494936635,"CAVT_(37.5625, 12.833333969116211)"
84,CAVT,"(37.5625, 12.666667938232422)",10,100,sqrt,2,3,0.1803200669561615,0.0836371769646422,0.2892009283606161,0.8359366007131914,"CAVT_(37.5625, 12.666667938232422)"
85,CAVT,sea_mean,10,100,sqrt,2,3,0.1693051022852438,0.0736855809780419,0.2714508813359093,0.8357227101963116,CAVT_sea_mean
86,CAVT,sea_median,10,100,sqrt,2,3,0.1695989673371394,0.0739712617310608,0.2719765830564478,0.8345209860581999,CAVT_sea_median
88,CAVT,"(37.5625, 12.75)",10,100,sqrt,2,5,0.1682853099763676,0.0731923768575835,0.2705408968300052,0.8362777250606533,"CAVT_(37.5625, 12.75)"
89,CAVT,"(37.5625, 12.791667938232422)",10,100,sqrt,2,5,0.1636230312481764,0.0689863129507622,0.2626524565861934,0.8364770672923811,"CAVT_(37.5625, 12.791667938232422)"
90,CAVT,"(37.5625, 12.708333969116211)",10,100,sqrt,2,5,0.173080632851572,0.077508977841532,0.278404342353944,0.8367501643106623,"CAVT_(37.5625, 12.708333969116211)"
91,CAVT,"(37.5625, 12.833333969116211)",10,100,sqrt,2,5,0.1584653610298263,0.064357798227179,0.2536883880416662,0.837281950959276,"CAVT_(37.5625, 12.833333969116211)"
92,CAVT,"(37.5625, 12.666667938232422)",10,100,sqrt,2,5,0.1789117773000564,0.0826238864839414,0.2874437101137219,0.8379242799577817,"CAVT_(37.5625, 12.666667938232422)"
93,CAVT,sea_mean,10,100,sqrt,2,5,0.1680068429958605,0.0728824706392706,0.2699675362692162,0.8375131933290427,CAVT_sea_mean
94,CAVT,sea_median,10,100,sqrt,2,5,0.1682853559937437,0.0731942645981856,0.2705443856341981,0.8362591843310814,CAVT_sea_median
96,CAVT,"(37.5625, 12.75)",10,100,log2,2,1,0.1685309523318445,0.0730120082456857,0.2702073430639621,0.8366811872890357,"CAVT_(37.5625, 12.75)"
97,CAVT,"(37.5625, 12.791667938232422)",10,100,log2,2,1,0.1637377188487241,0.0687866256632359,0.2622720451425122,0.8369503996025748,"CAVT_(37.5625, 12.791667938232422)"
98,CAVT,"(37.5625, 12.708333969116211)",10,100,log2,2,1,0.1734229794493929,0.0773505478362538,0.2781196645982693,0.837083850459676,"CAVT_(37.5625, 12.708333969116211)"
99,CAVT,"(37.5625, 12.833333969116211)",10,100,log2,2,1,0.1584801564384599,0.0641443620318428,0.2532673726160613,0.8378215890801637,"CAVT_(37.5625, 12.833333969116211)"
100,CAVT,"(37.5625, 12.666667938232422)",10,100,log2,2,1,0.1793131907195663,0.0825016089531377,0.2872309331411534,0.8381641406045433,"CAVT_(37.5625, 12.666667938232422)"
101,CAVT,sea_mean,10,100,log2,2,1,0.1682360281614609,0.0727083651987261,0.2696448872104312,0.8379013502728176,CAVT_sea_mean
102,CAVT,sea_median,10,100,log2,2,1,0.168530275916956,0.0730140599458905,0.2702111395666184,0.8366623150533604,CAVT_sea_median
104,CAVT,"(37.5625, 12.75)",10,100,log2,2,3,0.1688023789122159,0.0738584282890609,0.2717690716197502,0.8347878505645666,"CAVT_(37.5625, 12.75)"
105,CAVT,"(37.5625, 12.791667938232422)",10,100,log2,2,3,0.1641153943529654,0.0696484149583825,0.2639098614269322,0.8349076420338527,"CAVT_(37.5625, 12.791667938232422)"
106,CAVT,"(37.5625, 12.708333969116211)",10,100,log2,2,3,0.1737702058945071,0.0782147025756479,0.279668915998271,0.8352637629918129,"CAVT_(37.5625, 12.708333969116211)"
107,CAVT,"(37.5625, 12.833333969116211)",10,100,log2,2,3,0.1589352960221766,0.0650378589900111,0.2550252124594961,0.8355625297919053,"CAVT_(37.5625, 12.833333969116211)"
108,CAVT,"(37.5625, 12.666667938232422)",10,100,log2,2,3,0.1799766084183036,0.0834402663437696,0.2888602886237041,0.8363228622656311,"CAVT_(37.5625, 12.666667938232422)"
109,CAVT,sea_mean,10,100,log2,2,3,0.1686074971855359,0.0735880701685609,0.2712712114629212,0.8359401043091825,CAVT_sea_mean
110,CAVT,sea_median,10,100,log2,2,3,0.1688023496749109,0.0738602325428656,0.2717723910607286,0.8347693663095483,CAVT_sea_median
112,CAVT,"(37.5625, 12.75)",10,100,log2,2,5,0.1697751396312527,0.0744570021447314,0.2728681039343577,0.8334489150418102,"CAVT_(37.5625, 12.75)"
113,CAVT,"(37.5625, 12.791667938232422)",10,100,log2,2,5,0.1650414724622325,0.0701389545488672,0.2648376003305935,0.833744882799242,"CAVT_(37.5625, 12.791667938232422)"
114,CAVT,"(37.5625, 12.708333969116211)",10,100,log2,2,5,0.1746396348455182,0.0789489795731942,0.2809786105261293,0.8337172247385931,"CAVT_(37.5625, 12.708333969116211)"
115,CAVT,"(37.5625, 12.833333969116211)",10,100,log2,2,5,0.159775169506725,0.0654386411723594,0.2558097753651324,0.8345492183269636,"CAVT_(37.5625, 12.833333969116211)"
116,CAVT,"(37.5625, 12.666667938232422)",10,100,log2,2,5,0.1806931033091486,0.0844128680079412,0.2905389268375947,0.8344149985503905,"CAVT_(37.5625, 12.666667938232422)"
117,CAVT,sea_mean,10,100,log2,2,5,0.1695003824903916,0.0742216917046958,0.2724365829045281,0.8345274856212942,CAVT_sea_mean
118,CAVT,sea_median,10,100,log2,2,5,0.1697744802776502,0.0744602786918002,0.2728741077709651,0.8334270200696492,CAVT_sea_median
120,CAVT,"(37.5625, 12.75)",10,100,0.5,2,1,0.1696107569917401,0.0733593662599489,0.270849342365731,0.8359041904656609,"CAVT_(37.5625, 12.75)"
121,CAVT,"(37.5625, 12.791667938232422)",10,100,0.5,2,1,0.1648590489016049,0.0690322243097535,0.2627398414967808,0.836368240486806,"CAVT_(37.5625, 12.791667938232422)"
122,CAVT,"(37.5625, 12.708333969116211)",10,100,0.5,2,1,0.1745993961772973,0.0778786056315928,0.2790673854673685,0.8359716522250429,"CAVT_(37.5625, 12.708333969116211)"
123,CAVT,"(37.5625, 12.833333969116211)",10,100,0.5,2,1,0.1596868002739603,0.0643610872575679,0.253694870380873,0.837273635189892,"CAVT_(37.5625, 12.833333969116211)"
124,CAVT,"(37.5625, 12.666667938232422)",10,100,0.5,2,1,0.180741559821378,0.0834369929677481,0.2888546225486935,0.8363292833479382,"CAVT_(37.5625, 12.666667938232422)"
125,CAVT,sea_mean,10,100,0.5,2,1,0.1693932539473559,0.0731477654164436,0.2704584356540643,0.8369217355917948,CAVT_sea_mean
126,CAVT,sea_median,10,100,0.5,2,1,0.169609672082564,0.0733654458993345,0.2708605654194322,0.8358762394920116,CAVT_sea_median
128,CAVT,"(37.5625, 12.75)",10,100,0.5,2,3,0.1700431825960567,0.0741538153689012,0.2723119816844297,0.8341271062797725,"CAVT_(37.5625, 12.75)"
129,CAVT,"(37.5625, 12.791667938232422)",10,100,0.5,2,3,0.1652217163692566,0.0698234649753832,0.264241300661693,0.8344927091156245,"CAVT_(37.5625, 12.791667938232422)"
130,CAVT,"(37.5625, 12.708333969116211)",10,100,0.5,2,3,0.1750709146183914,0.0786922741929854,0.2805214326802596,0.83425789902313,"CAVT_(37.5625, 12.708333969116211)"
131,CAVT,"(37.5625, 12.833333969116211)",10,100,0.5,2,3,0.1600545019480611,0.065143777622554,0.2552327910409516,0.8352947320468114,"CAVT_(37.5625, 12.833333969116211)"
132,CAVT,"(37.5625, 12.666667938232422)",10,100,0.5,2,3,0.1812111496910005,0.0842893999080951,0.2903263679173753,0.8346571946275344,"CAVT_(37.5625, 12.666667938232422)"
133,CAVT,sea_mean,10,100,0.5,2,3,0.1698313453278105,0.0739567391965491,0.2719498836119426,0.8351181802916395,CAVT_sea_mean
134,CAVT,sea_median,10,100,0.5,2,3,0.1700417921616738,0.0741597087943281,0.2723228025603588,0.8340994164718506,CAVT_sea_median
136,CAVT,"(37.5625, 12.75)",10,100,0.5,2,5,0.1697337810147641,0.0736722297814573,0.2714262879336806,0.8352043535470356,"CAVT_(37.5625, 12.75)"
137,CAVT,"(37.5625, 12.791667938232422)",10,100,0.5,2,5,0.1648050508561304,0.0693395939167335,0.2633241233095318,0.8356396614773083,"CAVT_(37.5625, 12.791667938232422)"
138,CAVT,"(37.5625, 12.708333969116211)",10,100,0.5,2,5,0.1747977394529129,0.0781693271767299,0.2795877808072626,0.835359332906731,"CAVT_(37.5625, 12.708333969116211)"
139,CAVT,"(37.5625, 12.833333969116211)",10,100,0.5,2,5,0.1595551118180142,0.0646351558954809,0.2542344506464082,0.8365806979656099,"CAVT_(37.5625, 12.833333969116211)"
140,CAVT,"(37.5625, 12.666667938232422)",10,100,0.5,2,5,0.1810217285060379,0.083690946101493,0.2892938749809491,0.8358311267159977,"CAVT_(37.5625, 12.666667938232422)"
141,CAVT,sea_mean,10,100,0.5,2,5,0.1695046001097905,0.0734368960374722,0.2709924280076332,0.8362771373652301,CAVT_sea_mean
142,CAVT,sea_median,10,100,0.5,2,5,0.1697332548446388,0.0736784308726578,0.2714377108521544,0.8351760696753545,CAVT_sea_median
144,CSLB,"(38.0625, 14.041667938232422)",10,100,sqrt,2,1,0.1861302630336683,0.1086599064812607,0.3296360212131871,0.4424243347932934,"CSLB_(38.0625, 14.041667938232422)"
