,Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2,Station_Target
4064,CSLB,"(38.0625, 14.041667938232422)",30,200,log2,5,3,0.1324327288471638,0.0456219802720395,0.2135930248674791,0.846915680144596,"CSLB_(38.0625, 14.041667938232422)"
4065,CSLB,"(38.0625, 14.083335876464844)",30,200,log2,5,3,0.1340111557388416,0.0465600740268038,0.21577783488302,0.8457846245041687,"CSLB_(38.0625, 14.083335876464844)"
4066,CSLB,"(38.0625, 14.0)",30,200,log2,5,3,0.1307731495177596,0.0446332133616629,0.2112657410979426,0.8478846376493798,"CSLB_(38.0625, 14.0)"
4067,CSLB,"(38.0625, 14.125)",30,200,log2,5,3,0.1354485884833488,0.0474339040516809,0.2177932598857938,0.8446723816254005,"CSLB_(38.0625, 14.125)"
4068,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,log2,5,3,0.1266427777720931,0.0406126081937098,0.20152570107485,0.8322713759262564,"CSLB_(38.020835876464844, 13.916667938232422)"
4069,CSLB,sea_mean,30,200,log2,5,3,0.1311113129926834,0.0445546117125175,0.2110796335805933,0.8449014626665151,CSLB_sea_mean
4070,CSLB,sea_median,30,200,log2,5,3,0.1329786984041888,0.0458765848475722,0.2141881995992596,0.8452869345742144,CSLB_sea_median
4072,CSLB,"(38.0625, 14.041667938232422)",30,200,log2,10,3,0.132364511596427,0.0452411594112742,0.2126996930211094,0.848193522581715,"CSLB_(38.0625, 14.041667938232422)"
4073,CSLB,"(38.0625, 14.083335876464844)",30,200,log2,10,3,0.133914948379685,0.046194180624782,0.2149283150838483,0.8469965295443489,"CSLB_(38.0625, 14.083335876464844)"
4074,CSLB,"(38.0625, 14.0)",30,200,log2,10,3,0.1307092740527721,0.0442430679076327,0.2103403620507314,0.8492143003072834,"CSLB_(38.0625, 14.0)"
4075,CSLB,"(38.0625, 14.125)",30,200,log2,10,3,0.1353472282926681,0.0470932196669925,0.2170097225172009,0.8457879907060575,"CSLB_(38.0625, 14.125)"
4076,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,log2,10,3,0.1267234918941699,0.0402973967975224,0.2007421151565421,0.8335731877557924,"CSLB_(38.020835876464844, 13.916667938232422)"
4077,CSLB,sea_mean,30,200,log2,10,3,0.1310198259477864,0.0441929458052016,0.2102211830553753,0.8461604536232767,CSLB_sea_mean
4078,CSLB,sea_median,30,200,log2,10,3,0.1328893686061011,0.0454967876791018,0.2132997601477832,0.8465677531959432,CSLB_sea_median
4080,CSLB,"(38.0625, 14.041667938232422)",30,200,log2,2,5,0.1339854242475519,0.0467797504624442,0.2162862697039372,0.8430307882330629,"CSLB_(38.0625, 14.041667938232422)"
4081,CSLB,"(38.0625, 14.083335876464844)",30,200,log2,2,5,0.1356207863525852,0.0477882175170011,0.2186051635186168,0.8417167914205161,"CSLB_(38.0625, 14.083335876464844)"
4082,CSLB,"(38.0625, 14.0)",30,200,log2,2,5,0.1322955290239795,0.0457230693577179,0.2138295334085493,0.8441702772602555,"CSLB_(38.0625, 14.0)"
4083,CSLB,"(38.0625, 14.125)",30,200,log2,2,5,0.1371596700287284,0.0487430777224317,0.220778345229852,0.8403853461729762,"CSLB_(38.0625, 14.125)"
4084,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,log2,2,5,0.1281206785159745,0.0415167509289483,0.2037565972648453,0.82853729866078,"CSLB_(38.020835876464844, 13.916667938232422)"
4085,CSLB,sea_mean,30,200,log2,2,5,0.1326953444115503,0.0456868536299933,0.2137448329901645,0.8409600285801573,CSLB_sea_mean
4086,CSLB,sea_median,30,200,log2,2,5,0.1345567269535856,0.0470447916528416,0.2168981135299282,0.841347302701114,CSLB_sea_median
4088,CSLB,"(38.0625, 14.041667938232422)",30,200,log2,5,5,0.1336724688016574,0.0463327670845752,0.2152504752249695,0.8445306386555947,"CSLB_(38.0625, 14.041667938232422)"
4089,CSLB,"(38.0625, 14.083335876464844)",30,200,log2,5,5,0.1353187404478903,0.0473133293965862,0.2175162738660862,0.8432897066561351,"CSLB_(38.0625, 14.083335876464844)"
4090,CSLB,"(38.0625, 14.0)",30,200,log2,5,5,0.1319497666919314,0.0453157945189494,0.2128750678659891,0.8455583189227176,"CSLB_(38.0625, 14.0)"
4091,CSLB,"(38.0625, 14.125)",30,200,log2,5,5,0.1368384517354888,0.0482466146157701,0.219651120224255,0.8420110700831267,"CSLB_(38.0625, 14.125)"
4092,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,log2,5,5,0.1281199430647576,0.0412430328979091,0.2030838075719211,0.8296677443714178,"CSLB_(38.020835876464844, 13.916667938232422)"
4093,CSLB,sea_mean,30,200,log2,5,5,0.1323646680699845,0.0452661093306951,0.2127583355140173,0.8424246766357526,CSLB_sea_mean
4094,CSLB,sea_median,30,200,log2,5,5,0.1342515558094508,0.0465895693487058,0.2158461705676194,0.842882483193669,CSLB_sea_median
4096,CSLB,"(38.0625, 14.041667938232422)",30,200,log2,10,5,0.133907275342793,0.0465060895702786,0.2156527059192131,0.8439490559474058,"CSLB_(38.0625, 14.041667938232422)"
4097,CSLB,"(38.0625, 14.083335876464844)",30,200,log2,10,5,0.1355778512844127,0.0475107765658358,0.2179696689125252,0.8426357259659649,"CSLB_(38.0625, 14.083335876464844)"
4098,CSLB,"(38.0625, 14.0)",30,200,log2,10,5,0.132176779149884,0.0454598597666574,0.2132131791579906,0.8450673272215454,"CSLB_(38.0625, 14.0)"
4099,CSLB,"(38.0625, 14.125)",30,200,log2,10,5,0.137106732829636,0.0484577194900749,0.2201311415726428,0.8413197835865037,"CSLB_(38.0625, 14.125)"
4100,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,log2,10,5,0.1279926682759836,0.0413853307747353,0.2034338486455373,0.829080059212788,"CSLB_(38.020835876464844, 13.916667938232422)"
4101,CSLB,sea_mean,30,200,log2,10,5,0.1326023171078819,0.0454415325201189,0.2131701961347291,0.8418140130243279,CSLB_sea_mean
4102,CSLB,sea_median,30,200,log2,10,5,0.1344909061520515,0.0467787664102027,0.2162839948082214,0.8422444396808184,CSLB_sea_median
4104,CSLB,"(38.0625, 14.041667938232422)",30,200,0.5,2,1,0.1300644687358716,0.0440625280980548,0.2099107622254152,0.8521484138834204,"CSLB_(38.0625, 14.041667938232422)"
4105,CSLB,"(38.0625, 14.083335876464844)",30,200,0.5,2,1,0.1313007828332457,0.0448473712766641,0.2117719794417198,0.8514574053844886,"CSLB_(38.0625, 14.083335876464844)"
4106,CSLB,"(38.0625, 14.0)",30,200,0.5,2,1,0.1286797352752121,0.0431959050602368,0.2078362457807512,0.8527831573080334,"CSLB_(38.0625, 14.0)"
4107,CSLB,"(38.0625, 14.125)",30,200,0.5,2,1,0.1324462033633007,0.0455625928747764,0.2134539596137218,0.8508001991465908,"CSLB_(38.0625, 14.125)"
4108,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,0.5,2,1,0.124507205794023,0.0395740225184955,0.1989322058352933,0.8365606977411842,"CSLB_(38.020835876464844, 13.916667938232422)"
4109,CSLB,sea_mean,30,200,0.5,2,1,0.1286173929578594,0.0430424560689545,0.2074667589493664,0.8501654099779739,CSLB_sea_mean
4110,CSLB,sea_median,30,200,0.5,2,1,0.1304517331846571,0.044266699095002,0.210396528238947,0.8507160736566678,CSLB_sea_median
4112,CSLB,"(38.0625, 14.041667938232422)",30,200,0.5,5,1,0.1293944614967897,0.0432427536070336,0.2079489206681142,0.854899162966307,"CSLB_(38.0625, 14.041667938232422)"
4113,CSLB,"(38.0625, 14.083335876464844)",30,200,0.5,5,1,0.1306357899030208,0.0440615449672067,0.2099084204294976,0.8540602040681359,"CSLB_(38.0625, 14.083335876464844)"
4114,CSLB,"(38.0625, 14.0)",30,200,0.5,5,1,0.1280774905076771,0.0423635785851916,0.205824144806171,0.8556198260981471,"CSLB_(38.0625, 14.0)"
4115,CSLB,"(38.0625, 14.125)",30,200,0.5,5,1,0.1318445759798895,0.0448239266203655,0.2117166186683641,0.8532190443242157,"CSLB_(38.0625, 14.125)"
4116,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,0.5,5,1,0.1241473643704416,0.0390443130150247,0.1975963385668487,0.8387483791073296,"CSLB_(38.020835876464844, 13.916667938232422)"
4117,CSLB,sea_mean,30,200,0.5,5,1,0.128019046643349,0.0422901710311641,0.2056457415828593,0.8527841806177452,CSLB_sea_mean
4118,CSLB,sea_median,30,200,0.5,5,1,0.1298088145978484,0.0434720119563414,0.2084994291511164,0.8533960570007884,CSLB_sea_median
4120,CSLB,"(38.0625, 14.041667938232422)",30,200,0.5,10,1,0.129037437883412,0.0431811876531146,0.2078008365072544,0.8551057472076253,"CSLB_(38.0625, 14.041667938232422)"
4121,CSLB,"(38.0625, 14.083335876464844)",30,200,0.5,10,1,0.1302475240427354,0.0440047931702503,0.2097731945941862,0.8542481762709433,"CSLB_(38.0625, 14.083335876464844)"
4122,CSLB,"(38.0625, 14.0)",30,200,0.5,10,1,0.1277063122691301,0.0423008251827445,0.205671644090148,0.8558336972455061,"CSLB_(38.0625, 14.0)"
4123,CSLB,"(38.0625, 14.125)",30,200,0.5,10,1,0.1313406640548438,0.0447789189954433,0.2116102998330737,0.8533664268205045,"CSLB_(38.0625, 14.125)"
4124,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,0.5,10,1,0.1240629428783642,0.0390816355205526,0.197690757296725,0.8385942384899794,"CSLB_(38.020835876464844, 13.916667938232422)"
4125,CSLB,sea_mean,30,200,0.5,10,1,0.1277111005721298,0.0422517756764135,0.2055523672362192,0.852917838237761,CSLB_sea_mean
4126,CSLB,sea_median,30,200,0.5,10,1,0.1294848968377499,0.0434171873733416,0.2083679134927968,0.8535809460749155,CSLB_sea_median
4128,CSLB,"(38.0625, 14.041667938232422)",30,200,0.5,2,3,0.1304246469430261,0.0444787527089889,0.2108998641748946,0.850751774344935,"CSLB_(38.0625, 14.041667938232422)"
4129,CSLB,"(38.0625, 14.083335876464844)",30,200,0.5,2,3,0.1315745986067479,0.0452580430023196,0.2127393781186729,0.8500971864479588,"CSLB_(38.0625, 14.083335876464844)"
4130,CSLB,"(38.0625, 14.0)",30,200,0.5,2,3,0.1292540948977289,0.0436350762451917,0.2088901056660935,0.8512864090593235,"CSLB_(38.0625, 14.0)"
4131,CSLB,"(38.0625, 14.125)",30,200,0.5,2,3,0.1326921428583941,0.0459792360543872,0.2144276942337143,0.8494358545054568,"CSLB_(38.0625, 14.125)"
4132,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,0.5,2,3,0.1251924812891507,0.0401820194223291,0.200454532057345,0.834049692202345,"CSLB_(38.020835876464844, 13.916667938232422)"
4133,CSLB,sea_mean,30,200,0.5,2,3,0.1290209747119955,0.0434897882887093,0.2085420540052038,0.8486082070236809,CSLB_sea_mean
4134,CSLB,sea_median,30,200,0.5,2,3,0.1307887071430315,0.044688701069464,0.211397022376059,0.8492929245861414,CSLB_sea_median
4136,CSLB,"(38.0625, 14.041667938232422)",30,200,0.5,5,3,0.130184654214573,0.0439318470404773,0.2095992534349235,0.852586913499131,"CSLB_(38.0625, 14.041667938232422)"
4137,CSLB,"(38.0625, 14.083335876464844)",30,200,0.5,5,3,0.1314147321260063,0.0447176437345551,0.2114654670024283,0.8518870864371215,"CSLB_(38.0625, 14.083335876464844)"
4138,CSLB,"(38.0625, 14.0)",30,200,0.5,5,3,0.1289572095602726,0.0430855896670114,0.2075706859530301,0.8531591254436313,"CSLB_(38.0625, 14.0)"
4139,CSLB,"(38.0625, 14.125)",30,200,0.5,5,3,0.1325626696739159,0.0454511558111943,0.2131927667891065,0.8511651122616066,"CSLB_(38.0625, 14.125)"
4140,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,0.5,5,3,0.1249243114613855,0.039582345923063,0.1989531249391753,0.8365263223770345,"CSLB_(38.020835876464844, 13.916667938232422)"
4141,CSLB,sea_mean,30,200,0.5,5,3,0.1288261411604762,0.0429377224389566,0.2072141945884902,0.8505299969914824,CSLB_sea_mean
4142,CSLB,sea_median,30,200,0.5,5,3,0.1305839579192408,0.0441292133047053,0.2100695439722411,0.8511797273514657,CSLB_sea_median
4144,CSLB,"(38.0625, 14.041667938232422)",30,200,0.5,10,3,0.1310523334017637,0.0446072694608572,0.2112043310655755,0.8503205370458861,"CSLB_(38.0625, 14.041667938232422)"
4145,CSLB,"(38.0625, 14.083335876464844)",30,200,0.5,10,3,0.132294672966027,0.0454336460086931,0.2131516971752586,0.8495155575710268,"CSLB_(38.0625, 14.083335876464844)"
4146,CSLB,"(38.0625, 14.0)",30,200,0.5,10,3,0.129800428008101,0.0437228572427702,0.2091001129668997,0.8509872408559062,"CSLB_(38.0625, 14.0)"
4147,CSLB,"(38.0625, 14.125)",30,200,0.5,10,3,0.1334500461350412,0.0462095137106826,0.214963982356772,0.8486817845921251,"CSLB_(38.0625, 14.125)"
4148,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,0.5,10,3,0.1259690086613664,0.0403107542330433,0.20077538253741,0.8335180220232595,"CSLB_(38.020835876464844, 13.916667938232422)"
4149,CSLB,sea_mean,30,200,0.5,10,3,0.1297056523234551,0.0436363340237468,0.2088931162670203,0.8480980683807176,CSLB_sea_mean
4150,CSLB,sea_median,30,200,0.5,10,3,0.1314699693015319,0.0448359174961796,0.2117449349953373,0.848796455532617,CSLB_sea_median
4152,CSLB,"(38.0625, 14.041667938232422)",30,200,0.5,2,5,0.131774394566598,0.0453136404967445,0.2128700084482182,0.8479503126726877,"CSLB_(38.0625, 14.041667938232422)"
4153,CSLB,"(38.0625, 14.083335876464844)",30,200,0.5,2,5,0.132981813532616,0.0461535940048313,0.2148338753661333,0.8471309597609374,"CSLB_(38.0625, 14.083335876464844)"
4154,CSLB,"(38.0625, 14.0)",30,200,0.5,2,5,0.1305277551140518,0.0444180237607323,0.2107558392091008,0.8486180297055242,"CSLB_(38.0625, 14.0)"
4155,CSLB,"(38.0625, 14.125)",30,200,0.5,2,5,0.1341922026446152,0.0469392843504312,0.2166547584301606,0.846292069098575,"CSLB_(38.0625, 14.125)"
4156,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,0.5,2,5,0.1265995948606139,0.0408446206871948,0.2021005212442433,0.8313131725989904,"CSLB_(38.020835876464844, 13.916667938232422)"
4157,CSLB,sea_mean,30,200,0.5,2,5,0.1304370536918334,0.0443091986934846,0.2104975028200683,0.8457557670545813,CSLB_sea_mean
4158,CSLB,sea_median,30,200,0.5,2,5,0.1321865011489712,0.0455363751349108,0.2133925376739095,0.8464342494344717,CSLB_sea_median
4160,CSLB,"(38.0625, 14.041667938232422)",30,200,0.5,5,5,0.1322690098853252,0.0457893898923355,0.2139845552658777,0.8463539380258314,"CSLB_(38.0625, 14.041667938232422)"
4161,CSLB,"(38.0625, 14.083335876464844)",30,200,0.5,5,5,0.1334875430949882,0.0466222851669922,0.2159219423008979,0.8455785699704353,"CSLB_(38.0625, 14.083335876464844)"
4162,CSLB,"(38.0625, 14.0)",30,200,0.5,5,5,0.1310192850066426,0.0448935529313725,0.2118809876590453,0.8469973690662356,"CSLB_(38.0625, 14.0)"
4163,CSLB,"(38.0625, 14.125)",30,200,0.5,5,5,0.1346430927370367,0.0473985300584545,0.2177120347120356,0.844788217718383,"CSLB_(38.0625, 14.125)"
4164,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,0.5,5,5,0.1269323965554097,0.0412022192162005,0.2029832978749744,0.8298363034219398,"CSLB_(38.020835876464844, 13.916667938232422)"
4165,CSLB,sea_mean,30,200,0.5,5,5,0.1309246703126652,0.0447596985336464,0.2115648801990692,0.8441875373339656,CSLB_sea_mean
4166,CSLB,sea_median,30,200,0.5,5,5,0.1326902234010098,0.0460081302448571,0.2144950587889081,0.8448433141145787,CSLB_sea_median
4168,CSLB,"(38.0625, 14.041667938232422)",30,200,0.5,10,5,0.1317464484437754,0.04555047938385,0.2134255827773466,0.8471556010066954,"CSLB_(38.0625, 14.041667938232422)"
4169,CSLB,"(38.0625, 14.083335876464844)",30,200,0.5,10,5,0.1329269318409595,0.0463921807029373,0.2153884414330011,0.8463407175200091,"CSLB_(38.0625, 14.083335876464844)"
4170,CSLB,"(38.0625, 14.0)",30,200,0.5,10,5,0.1305598511516267,0.0446457130756682,0.2112953219445906,0.8478420371198194,"CSLB_(38.0625, 14.0)"
4171,CSLB,"(38.0625, 14.125)",30,200,0.5,10,5,0.1341576972048002,0.0471770187864941,0.2172027135799507,0.8455135811267851,"CSLB_(38.0625, 14.125)"
4172,CSLB,"(38.020835876464844, 13.916667938232422)",30,200,0.5,10,5,0.1268353377527273,0.04112190431968,0.2027853651516303,0.8301680010814882,"CSLB_(38.020835876464844, 13.916667938232422)"
4173,CSLB,sea_mean,30,200,0.5,10,5,0.1304498593133632,0.0445556611666557,0.2110821194858905,0.8448978094239981,CSLB_sea_mean
4174,CSLB,sea_median,30,200,0.5,10,5,0.1321578436019037,0.0457795239184645,0.2139615010193763,0.8456142604622513,CSLB_sea_median
4176,HAGA,"(37.3125, 15.166667938232422)",30,200,sqrt,2,1,0.1210062905752549,0.0268848851321088,0.1639661097059659,0.5981923161859337,"HAGA_(37.3125, 15.166667938232422)"
4177,HAGA,"(37.3125, 15.125)",30,200,sqrt,2,1,0.1186940152326509,0.0252406621592657,0.158873100804591,0.5533506169711129,"HAGA_(37.3125, 15.125)"
4178,HAGA,"(37.3125, 15.208335876464844)",30,200,sqrt,2,1,0.1276705641018292,0.0309624204758566,0.1759614175774242,0.6381534204954304,"HAGA_(37.3125, 15.208335876464844)"
4179,HAGA,"(37.35416793823242, 15.166667938232422)",30,200,sqrt,2,1,0.1293238794808714,0.031981472040001,0.1788336434790755,0.6200799562517222,"HAGA_(37.35416793823242, 15.166667938232422)"
4180,HAGA,"(37.35416793823242, 15.125)",30,200,sqrt,2,1,0.1260509585002253,0.0297874532509001,0.1725904205073392,0.5856619557560505,"HAGA_(37.35416793823242, 15.125)"
4181,HAGA,sea_mean,30,200,sqrt,2,1,0.1235102757806048,0.0284693857541735,0.1687287342279718,0.6047063055205888,HAGA_sea_mean
4182,HAGA,sea_median,30,200,sqrt,2,1,0.1249826534281692,0.0291590743358849,0.170760283250775,0.5978685730038229,HAGA_sea_median
4184,HAGA,"(37.3125, 15.166667938232422)",30,200,sqrt,5,1,0.1210109399146171,0.026980980108309,0.164258881368129,0.5967561300306482,"HAGA_(37.3125, 15.166667938232422)"
4185,HAGA,"(37.3125, 15.125)",30,200,sqrt,5,1,0.1185543169284342,0.0252966944145156,0.1590493458474936,0.5523590909929443,"HAGA_(37.3125, 15.125)"
4186,HAGA,"(37.3125, 15.208335876464844)",30,200,sqrt,5,1,0.1278599334423419,0.0311999776471348,0.1766351540524559,0.6353771759853859,"HAGA_(37.3125, 15.208335876464844)"
4187,HAGA,"(37.35416793823242, 15.166667938232422)",30,200,sqrt,5,1,0.1295446105813505,0.0322761679157193,0.1796556926894311,0.6165791521031427,"HAGA_(37.35416793823242, 15.166667938232422)"
4188,HAGA,"(37.35416793823242, 15.125)",30,200,sqrt,5,1,0.1261057436118002,0.029997318657369,0.1731973402144762,0.582742766212106,"HAGA_(37.35416793823242, 15.125)"
4189,HAGA,sea_mean,30,200,sqrt,5,1,0.1234982145670447,0.0286386206008316,0.1692294909311956,0.602356501828027,HAGA_sea_mean
4190,HAGA,sea_median,30,200,sqrt,5,1,0.1249872412071842,0.0293102234178288,0.1712022880040708,0.5957840831016019,HAGA_sea_median
4192,HAGA,"(37.3125, 15.166667938232422)",30,200,sqrt,10,1,0.1212662937205538,0.0270066092354445,0.1643368772839637,0.5963730902608343,"HAGA_(37.3125, 15.166667938232422)"
4193,HAGA,"(37.3125, 15.125)",30,200,sqrt,10,1,0.1187071300571914,0.025287109025592,0.1590192096118959,0.5525287104752614,"HAGA_(37.3125, 15.125)"
4194,HAGA,"(37.3125, 15.208335876464844)",30,200,sqrt,10,1,0.128157931017268,0.0312985935662452,0.1769140852680907,0.6342246875020441,"HAGA_(37.3125, 15.208335876464844)"
4195,HAGA,"(37.35416793823242, 15.166667938232422)",30,200,sqrt,10,1,0.1299083846317641,0.0324265984979265,0.1800738695589301,0.6147921301267378,"HAGA_(37.35416793823242, 15.166667938232422)"
4196,HAGA,"(37.35416793823242, 15.125)",30,200,sqrt,10,1,0.1266045411809118,0.0300895790624442,0.173463480486367,0.5814594407972735,"HAGA_(37.35416793823242, 15.125)"
4197,HAGA,sea_mean,30,200,sqrt,10,1,0.123945876083849,0.0287058532123126,0.169428017790189,0.6014229858185388,HAGA_sea_mean
4198,HAGA,sea_median,30,200,sqrt,10,1,0.1253727982593347,0.0293851431353297,0.1714209530230471,0.594750868790278,HAGA_sea_median
4200,HAGA,"(37.3125, 15.166667938232422)",30,200,sqrt,2,3,0.1206820235854873,0.0268416854638362,0.1638343232165844,0.5988379562385084,"HAGA_(37.3125, 15.166667938232422)"
4201,HAGA,"(37.3125, 15.125)",30,200,sqrt,2,3,0.1181847634125721,0.0251242458856219,0.1585062960441066,0.5554106761117731,"HAGA_(37.3125, 15.125)"
4202,HAGA,"(37.3125, 15.208335876464844)",30,200,sqrt,2,3,0.1276537566921197,0.0311199320301974,0.1764084239207342,0.6363126400817963,"HAGA_(37.3125, 15.208335876464844)"
4203,HAGA,"(37.35416793823242, 15.166667938232422)",30,200,sqrt,2,3,0.1292726584090076,0.0322781454970077,0.1796611964142722,0.6165556596645001,"HAGA_(37.35416793823242, 15.166667938232422)"
4204,HAGA,"(37.35416793823242, 15.125)",30,200,sqrt,2,3,0.1258627709882459,0.0299540454880843,0.17307237066639,0.5833446881078332,"HAGA_(37.35416793823242, 15.125)"
4205,HAGA,sea_mean,30,200,sqrt,2,3,0.1232410241279557,0.0285488489766678,0.1689640464023865,0.6036029690782002,HAGA_sea_mean
4206,HAGA,sea_median,30,200,sqrt,2,3,0.1247061930319263,0.0292291834732541,0.1709654452608892,0.5969017011775439,HAGA_sea_median
4208,HAGA,"(37.3125, 15.166667938232422)",30,200,sqrt,5,3,0.1208317278881015,0.0269829927265425,0.1642650076143501,0.5967260504723089,"HAGA_(37.3125, 15.166667938232422)"
4209,HAGA,"(37.3125, 15.125)",30,200,sqrt,5,3,0.1184057177112105,0.0252982240119125,0.1590541543371708,0.5523320238055105,"HAGA_(37.3125, 15.125)"
4210,HAGA,"(37.3125, 15.208335876464844)",30,200,sqrt,5,3,0.1277228487458356,0.0311731945805559,0.1765593231198962,0.63569017997155,"HAGA_(37.3125, 15.208335876464844)"
4211,HAGA,"(37.35416793823242, 15.166667938232422)",30,200,sqrt,5,3,0.1292789516011633,0.0322792123825993,0.1796641655495034,0.6165429857256599,"HAGA_(37.35416793823242, 15.166667938232422)"
4212,HAGA,"(37.35416793823242, 15.125)",30,200,sqrt,5,3,0.1259824370615418,0.0300250972065109,0.1732775150055856,0.5823563716577795,"HAGA_(37.35416793823242, 15.125)"
4213,HAGA,sea_mean,30,200,sqrt,5,3,0.1234136763128617,0.0286429159210304,0.1692421812700085,0.6022968618693354,HAGA_sea_mean
4214,HAGA,sea_median,30,200,sqrt,5,3,0.1248706159371275,0.0293413501122481,0.1712931700688855,0.5953548163182901,HAGA_sea_median
4216,HAGA,"(37.3125, 15.166667938232422)",30,200,sqrt,10,3,0.1208343337603118,0.0267649703126087,0.16360003151775,0.5999845014841614,"HAGA_(37.3125, 15.166667938232422)"
4217,HAGA,"(37.3125, 15.125)",30,200,sqrt,10,3,0.1184109121458052,0.0250456945396435,0.1582583158625276,0.5568006915557409,"HAGA_(37.3125, 15.125)"
4218,HAGA,"(37.3125, 15.208335876464844)",30,200,sqrt,10,3,0.1276758521850169,0.0310364791633248,0.1761717320211301,0.6372879234725517,"HAGA_(37.3125, 15.208335876464844)"
4219,HAGA,"(37.35416793823242, 15.166667938232422)",30,200,sqrt,10,3,0.1293199664485585,0.0321709704516442,0.1793626785360996,0.6178288327026983,"HAGA_(37.35416793823242, 15.166667938232422)"
4220,HAGA,"(37.35416793823242, 15.125)",30,200,sqrt,10,3,0.1259520252760037,0.0298403390191251,0.1727435643348982,0.5849263243615139,"HAGA_(37.35416793823242, 15.125)"
4221,HAGA,sea_mean,30,200,sqrt,10,3,0.1233747729077477,0.0284568191001639,0.1686914908943659,0.6048807918665045,HAGA_sea_mean
4222,HAGA,sea_median,30,200,sqrt,10,3,0.1247980121187816,0.0291280280347097,0.170669352945131,0.5982967310876746,HAGA_sea_median
4224,HAGA,"(37.3125, 15.166667938232422)",30,200,sqrt,2,5,0.1205128913448101,0.0268574046978836,0.1638822891525612,0.5986030246405902,"HAGA_(37.3125, 15.166667938232422)"
4225,HAGA,"(37.3125, 15.125)",30,200,sqrt,2,5,0.1178102940055854,0.0251001155193147,0.1584301597528535,0.5558376781117759,"HAGA_(37.3125, 15.125)"
4226,HAGA,"(37.3125, 15.208335876464844)",30,200,sqrt,2,5,0.1275809686332385,0.0311957597927176,0.1766232141954099,0.6354264685203446,"HAGA_(37.3125, 15.208335876464844)"
4227,HAGA,"(37.35416793823242, 15.166667938232422)",30,200,sqrt,2,5,0.1292685123130125,0.0323528794144838,0.1798690618602426,0.6156678670963067,"HAGA_(37.35416793823242, 15.166667938232422)"
4228,HAGA,"(37.35416793823242, 15.125)",30,200,sqrt,2,5,0.1257597722719292,0.0299958937637711,0.1731932266682826,0.582762586222284,"HAGA_(37.35416793823242, 15.125)"
4229,HAGA,sea_mean,30,200,sqrt,2,5,0.1231623970537406,0.0285872811158211,0.1690777369017612,0.6030693438569237,HAGA_sea_mean
4230,HAGA,sea_median,30,200,sqrt,2,5,0.124636967688569,0.0292636514675239,0.1710662195394635,0.5964263546846562,HAGA_sea_median
4232,HAGA,"(37.3125, 15.166667938232422)",30,200,sqrt,5,5,0.1212399107741654,0.0270031474991912,0.1643263445074807,0.5964248275927617,"HAGA_(37.3125, 15.166667938232422)"
4233,HAGA,"(37.3125, 15.125)",30,200,sqrt,5,5,0.1185493582220852,0.0252725859881855,0.1589735386414529,0.5527857047512603,"HAGA_(37.3125, 15.125)"
4234,HAGA,"(37.3125, 15.208335876464844)",30,200,sqrt,5,5,0.1282001002483449,0.0313352841929151,0.1770177510672733,0.6337958974540978,"HAGA_(37.3125, 15.208335876464844)"
4235,HAGA,"(37.35416793823242, 15.166667938232422)",30,200,sqrt,5,5,0.1298729450816947,0.0324967755442278,0.1802686205201223,0.6139584703606216,"HAGA_(37.35416793823242, 15.166667938232422)"
4236,HAGA,"(37.35416793823242, 15.125)",30,200,sqrt,5,5,0.1264696160480569,0.0301587066884181,0.1736626231761403,0.5804978881224615,"HAGA_(37.35416793823242, 15.125)"
4237,HAGA,sea_mean,30,200,sqrt,5,5,0.1238835833018623,0.0287387699224837,0.1695251306517231,0.6009659416066959,HAGA_sea_mean
4238,HAGA,sea_median,30,200,sqrt,5,5,0.1252935165630272,0.0293963469331711,0.1714536291046973,0.5945963577395558,HAGA_sea_median
4240,HAGA,"(37.3125, 15.166667938232422)",30,200,sqrt,10,5,0.1212311494812807,0.0270393243301922,0.1644363838394418,0.5958841472587817,"HAGA_(37.3125, 15.166667938232422)"
4241,HAGA,"(37.3125, 15.125)",30,200,sqrt,10,5,0.1186583000485151,0.0252958123836792,0.159046573001996,0.5523746990830332,"HAGA_(37.3125, 15.125)"
4242,HAGA,"(37.3125, 15.208335876464844)",30,200,sqrt,10,5,0.1281328477467679,0.0314048222514433,0.1772140577139505,0.6329832313822237,"HAGA_(37.3125, 15.208335876464844)"
4243,HAGA,"(37.35416793823242, 15.166667938232422)",30,200,sqrt,10,5,0.1298525623577004,0.032562991907719,0.1804521873176356,0.613171861048738,"HAGA_(37.35416793823242, 15.166667938232422)"
