Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,MAE,MSE,RMSE,R2
HAGA,sea_mode,15,200,40,0.15082966131100592,0.05938627920260222,0.24369300195656465,0.6102336526247991
MMGO,"(37.5625, 12.916667938232422)",15,200,40,0.24039831989854493,0.24114421034158,0.4910643647645184,0.3234310025533186
MMGO,"(37.5625, 12.875)",15,200,40,0.2410436462891425,0.24253455860685205,0.49247797778870483,0.3417172241173956
MMGO,"(37.520835876464844, 13.0)",15,200,40,0.24037543900668704,0.2402099368794258,0.49011216765086113,0.32932029232344295
MMGO,"(37.520835876464844, 12.958333969116211)",15,200,40,0.2443243309200635,0.255403599205687,0.5053747116800434,0.3338457289278015
MMGO,"(37.520835876464844, 12.916667938232422)",15,200,40,0.2551537109871954,0.28589225582818006,0.5346889337064871,0.31863151587851835
MMGO,sea_mean,15,200,40,0.24297386835862397,0.251998236471997,0.5019942594014367,0.32966380951734886
MMGO,sea_median,15,200,40,0.2427774574440363,0.25090692065992576,0.5009060996433621,0.33093616585739816
MMGO,sea_mode,15,200,40,0.23724252746324145,0.23155923266392633,0.48120601893983656,0.33651964090528996
MPNC,"(38.22916793823242, 15.333335876464844)",15,200,40,0.10333632516657644,0.028196500527009744,0.1679181363849949,0.8471395584645611
MPNC,"(38.22916793823242, 15.375)",15,200,40,0.1119374854295157,0.03250167058137269,0.18028219707273563,0.8511196119286846
MPNC,"(38.22916793823242, 15.291667938232422)",15,200,40,0.0903826273384522,0.02209840114127544,0.14865530983209257,0.8318029342132622
MPNC,"(38.1875, 15.208335876464844)",15,200,40,0.12756441785533887,0.04015875198551218,0.20039648695900877,0.8527501695697435
MPNC,"(38.270835876464844, 15.333335876464844)",15,200,40,0.13380085208910744,0.04579469639265346,0.2139969541667672,0.8639073991754086
MPNC,sea_mean,15,200,40,0.10850353928645823,0.0304472373688374,0.17449136760549905,0.8609956549969449
MPNC,sea_median,15,200,40,0.10986286653396853,0.031385760113908555,0.1771602667471139,0.8550027565902953
MPNC,sea_mode,15,200,40,0.09131255443048751,0.02188490839078056,0.14793548725975306,0.8306429292958787
MSDA,"(35.9375, 14.541667938232422)",15,200,40,0.15196043174454288,0.05399577395278756,0.23236990758871418,0.8266194345441902
MSDA,"(35.895835876464844, 14.583335876464844)",15,200,40,0.17209839709864452,0.07605205737127012,0.2757753748456706,0.7674557144879187
MSDA,"(35.97916793823242, 14.5)",15,200,40,0.15886472546198924,0.06092701605130659,0.24683398479809582,0.8597539369560995
MSDA,"(35.97916793823242, 14.458335876464844)",15,200,40,0.15328612321886634,0.0551683602865027,0.23487945905613522,0.8452599829117838
MSDA,"(35.9375, 14.583335876464844)",15,200,40,0.157003142097211,0.06861646391107415,0.2619474449409159,0.8389075657257477
MSDA,sea_mean,15,200,40,0.14749528796875674,0.05609172022910966,0.23683690639152855,0.8428738137371897
MSDA,sea_median,15,200,40,0.15049985227756774,0.054185121737144085,0.23277697853770696,0.8516528494882163
MSDA,sea_mode,15,200,40,0.1495184487244823,0.05190721884041575,0.22783155804325209,0.8140720809592145
